producto,old_price,current_price,url,stock
Abyss,,$44.63,https://gamersguildaz.com/products/abyss,Sí
Abyss: Kraken Expansion,$29.99,$19.39,https://gamersguildaz.com/products/abyss-kraken-expansion-bombyx,Sí
Action Pups,$20.00,$18.00,https://gamersguildaz.com/products/action-pups,Sí
Adrift: A Puzzletale (Pre-Order),$49.00,$41.65,https://gamersguildaz.com/products/adrift-a-puzzletale-pre-order,Sí
Adventure Tactics: Adventures in Alchemy,$45.00,$32.44,https://gamersguildaz.com/products/adventure-tactics-adventures-in-alchemy,Sí
Adventure Tactics: Adventures in Alchemy - Enemy Pack,$20.00,$14.34,https://gamersguildaz.com/products/adventure-tactics-adventures-in-alchemy-enemy-pack,Sí
Adventure Tactics: Alternate Elite Class Art Pack,$6.00,$5.00,https://gamersguildaz.com/products/adventure-tactics-alternate-elite-class-art-pack,Sí
Adventure Tactics: Domianne's Tower - Enemy Pack,$85.00,$60.70,https://gamersguildaz.com/products/copy-of-adventure-tactics-domiannes-tower-hero-pack,Sí
Adventure Tactics: Domianne's Tower - First Edition Upgrade Pack,$10.00,$7.20,https://gamersguildaz.com/products/adventure-tactics-domiannes-tower-first-edition-upgrade-pack,Sí
Adventure Tactics: Into the Slimer-verse,$5.00,$4.25,https://gamersguildaz.com/products/adventure-tactics-into-the-slimer-verse,Sí
Aeon's End - 2E,$59.99,$42.88,https://gamersguildaz.com/products/aeons-end-2e,Sí
Aeon's End 7: Past and Future,$59.99,$49.81,https://gamersguildaz.com/products/aeons-end-past-and-future,Sí
Aeon's End: Accessory Pack,,$29.94,https://gamersguildaz.com/products/aeons-end-accessory-pack-board-games,Sí
Aeon's End: Legacy,$99.99,$71.43,https://gamersguildaz.com/products/aeons-end-legacy-board-games,Sí
Aeon's End: Legacy of Gravehold,$99.99,$71.43,https://gamersguildaz.com/products/copy-of-aeons-end-legacy-1,Sí
"Aeon's End: The Depths Expansion, 2nd Edition",$19.99,$12.69,https://gamersguildaz.com/products/aeons-end-the-depths-expansion-2nd-edition-board-games,Sí
Aeon's End: The Ruins,$19.99,$15.56,https://gamersguildaz.com/products/copy-of-aeons-end-the-ruins,Sí
Aeon's End: War Eternal,$59.99,$42.88,https://gamersguildaz.com/products/aeons-end-legacy-war-eternal,Sí
Aerion,$24.99,$22.79,https://gamersguildaz.com/products/aerion,Sí
Affliction: Salem 1692 (Second Edition),$35.00,$29.75,https://gamersguildaz.com/products/affliction-salem-1692-second-edition,Sí
After the Empire,$89.99,$60.39,https://gamersguildaz.com/products/copy-of-ahoy,Sí
After Us,$49.95,$42.82,https://gamersguildaz.com/products/after-us,Sí
Agatha Christie's: Death on the Cards,$19.99,$16.96,https://gamersguildaz.com/products/agatha-christies-death-on-the-cards,Sí
Age Of Innovation,$99.95,$99.92,https://gamersguildaz.com/products/age-of-innovation,Sí
Age of Steam Deluxe: Detroit Bankruptcy & Heavy Cardboard Maps,$19.99,$17.99,https://gamersguildaz.com/products/age-of-steam-deluxe-detroit-bankruptcy-heavy-cardboard-maps,Sí
Age of Steam Deluxe: Expansion Volume I,$79.99,$71.99,https://gamersguildaz.com/products/age-of-steam-deluxe-expansion-volume-1,Sí
Age of Steam Deluxe: New England/Pittsburgh & Switzerland Maps,$34.99,$31.49,https://gamersguildaz.com/products/age-of-steam-deluxe-new-england-pittsburgh-switzerland-maps,Sí
Age of Steam: Deluxe,$99.99,$89.99,https://gamersguildaz.com/products/age-of-steam-deluxe-v2,Sí
Aggretsuko Work/Rage Balance,$21.99,$15.96,https://gamersguildaz.com/products/aggretsuko-work-rage-balance,Sí
Agricola,$64.99,$51.99,https://gamersguildaz.com/products/agricola-lookout-games,Sí
Agricola: All Creatures Big and Small - The Big Box,$44.99,$35.96,https://gamersguildaz.com/products/agricola-all-creatures-big-and-small-big-box,Sí
Agricola: Artifex Deck,$16.99,$13.56,https://gamersguildaz.com/products/agricola-artifex-deck-expansion-lookout-games,Sí
Agricola: Bubulcus Deck,$19.99,$19.16,https://gamersguildaz.com/products/agricola-bubulcus-deck-expansion-lookout-games,Sí
Agricola: Consul Dirigens Deck,,$19.16,https://gamersguildaz.com/products/agricola-consul-dirigens-deck,Sí
Agricola: Corbarius Deck,$16.99,$15.90,https://gamersguildaz.com/products/agricola-corbarius-deck-lookout-games,Sí
Agricola: Dulcinaria Deck,$19.99,$12.92,https://gamersguildaz.com/products/agricola-dulcinaria-deck-expansion-lookout-games,Sí
Agricola: Farmers of the Moor (2017 Revised),$39.99,$31.96,https://gamersguildaz.com/products/agricolafarmers-of-the-moor-2017-revise-lookout-games,Sí
Agricola: Storage Box,$45.99,$41.92,https://gamersguildaz.com/products/agricola-storage-box,Sí
Ahau Rulers Of Yucatan,$70.00,$50.02,https://gamersguildaz.com/products/ahau-rulers-of-yucatan,Sí
Ahoy,,$28.16,https://gamersguildaz.com/products/ahoy,Sí
"Air, Land, and Sea: Critters at War: Flies, Lies, and Supplies",$17.99,$17.96,https://gamersguildaz.com/products/critters-at-war-flies-lies-and-supplies,Sí
Akropolis,,$29.99,https://gamersguildaz.com/products/akropolis,Sí
Alchemists,$59.95,$41.93,https://gamersguildaz.com/products/alchemists-board-games,Sí
ALDR: The High Sage,$29.99,$25.50,https://gamersguildaz.com/products/aldr-the-high-sage,Sí
Alien Frontiers,$74.99,$60.00,https://gamersguildaz.com/products/alien-frontiers,Sí
Aliens: Another Glorious Day in the Corps,$70.00,$51.24,https://gamersguildaz.com/products/aliens-another-glorious-day-in-the-corps,Sí
All Time Wrestling: Legends Edition,,$63.47,https://gamersguildaz.com/products/all-time-wrestling-legends-edition,Sí
Allegra,$14.99,$14.96,https://gamersguildaz.com/products/allegra,Sí
Almost Innocent,$35.00,$29.75,https://gamersguildaz.com/products/almost-innocent,Sí
Alone: Avatar Expansion,,$24.87,https://gamersguildaz.com/products/alone-avatar-expansion-board-games,Sí
Alone: Deep Expansion,,$24.87,https://gamersguildaz.com/products/alone-deep-expansion-board-games,Sí
Alpaca (Pre-Order),$24.95,$21.21,https://gamersguildaz.com/products/alpaca-pre-order,Sí
Alphabet Stoop,$24.99,$17.44,https://gamersguildaz.com/products/alphabet-stoop,Sí
Alpujarras,$39.99,$28.96,https://gamersguildaz.com/products/alpujarras,Sí
Altiplano,$65.00,$58.92,https://gamersguildaz.com/products/altiplano,Sí
America's Main Street,$17.99,$15.29,https://gamersguildaz.com/products/americas-main-street,Sí
Americana (Pre-Order),$39.99,$34.00,https://gamersguildaz.com/products/americana-pre-order,Sí
Among the Stars Miniatures,$29.95,$21.41,https://gamersguildaz.com/products/among-the-stars-miniatures,Sí
Among the Stars: Expanding the Alliance,$34.95,$24.97,https://gamersguildaz.com/products/among-the-stars-expanding-the-alliance,Sí
Among the Stars: Revival,$44.95,$33.97,https://gamersguildaz.com/products/among-the-stars-revival,Sí
Among the Stars: The Ambassadors,$34.95,$24.97,https://gamersguildaz.com/products/among-the-stars-the-ambassadors,Sí
Among Thieves,$19.99,$19.96,https://gamersguildaz.com/products/among-thieves,Sí
Amritsar,$49.99,$42.49,https://gamersguildaz.com/products/amritsar,Sí
Amun Re,$59.99,$50.44,https://gamersguildaz.com/products/amun-re,Sí
Amygdala,$60.00,$51.00,https://gamersguildaz.com/products/amygdala-1,Sí
Anarchy Pancakes,$13.99,$13.96,https://gamersguildaz.com/products/anarchy-pancakes,Sí
Ancient Terrible Things: Reawakened (Pre-Order),$55.00,$46.75,https://gamersguildaz.com/products/ancient-terrible-things-reawakened-pre-order,Sí
And That's How I Died (Pre-Order),$24.99,$21.24,https://gamersguildaz.com/products/and-thats-how-i-died-pre-order,Sí
Ankh'or,$24.99,$19.96,https://gamersguildaz.com/products/ankhor-space-cowboys,Sí
Ankh: Gods of Egypt,$99.99,$89.83,https://gamersguildaz.com/products/ankh-gods-of-egypt,Sí
Ankh: Gods of Egypt - Guardians Set,$39.99,$35.92,https://gamersguildaz.com/products/ankh-gods-of-egypt-guardians-set,Sí
Ankh: Gods of Egypt - Pantheon,$59.99,$53.96,https://gamersguildaz.com/products/ankh-gods-of-egypt-pantheon-expansion,Sí
Ankh: Gods of Egypt - Pharaoh,,$44.92,https://gamersguildaz.com/products/ankh-gods-of-egypt-pharaoh-expansion,Sí
Antiquity Quest,,$26.99,https://gamersguildaz.com/products/antiquity-quest,Sí
Apiary,,$84.20,https://gamersguildaz.com/products/apiary,Sí
Applejack,$59.99,$44.97,https://gamersguildaz.com/products/applejack,Sí
AQUA: Biodiversity in the oceans,$39.99,$39.96,https://gamersguildaz.com/products/aqua-biodiversity-in-the-oceans,Sí
Aquanauts: Discover the Deep,$50.00,$49.96,https://gamersguildaz.com/products/aquanauts-discover-the-deep,Sí
Aquarius,,$20.00,https://gamersguildaz.com/products/aquarius,Sí
Arcadia Quest,$99.99,$89.92,https://gamersguildaz.com/products/arcadia-quest-core-game-cmon,Sí
Arcadia Quest: Fire Dragon,,$29.96,https://gamersguildaz.com/products/arcadia-quest-fire-dragon,Sí
Arcana Rising,$40.00,$27.94,https://gamersguildaz.com/products/arcana-rising,Sí
Arcane Tinmen: Board Game Sleeves Large,,$3.05,https://gamersguildaz.com/products/arcane-tinmen-board-game-sleeves-large,Sí
Arcane Tinmen: Board Game Sleeves Medium,,$3.54,https://gamersguildaz.com/products/arcane-tinmen-board-game-sleeves-medium,Sí
Arcane Tinmen: Board Game Sleeves Mini,,$3.36,https://gamersguildaz.com/products/arcane-tinmen-board-game-sleeves-mini,Sí
ArcheOlogic,$34.99,$34.55,https://gamersguildaz.com/products/archeologic,Sí
Archeos Society,$49.99,$39.99,https://gamersguildaz.com/products/archeos-society,Sí
Architects of the West Kingdom Collector's Box,$30.00,$26.92,https://gamersguildaz.com/products/architects-of-the-west-kingdom-collectors-box,Sí
